ID_,class_,subject,catalog,title,units,grading_basis,grade,term,roster_status
0,,COMPSCI,121,,4,LTR,A,1,
0,,MATH,131,,4,LTR,A,1,
0,,COMPSCI,187,,4,LTR,A,2,
0,,MATH,132,,4,LTR,A,2,
0,,COMPSCI,230,,4,LTR,A,3,
0,,COMPSCI,240,,4,LTR,A,3,
0,,MATH,233,,4,LTR,A,3,
0,,COMPSCI,220,,4,LTR,C,4,
0,,COMPSCI,230,,4,LTR,B+,4,
0,,MATH,235,,4,LTR,A,4,
0,,COMPSCI,311,,4,LTR,D,5,
0,,COMPSCI,445,,4,LTR,C-,5,
0,,COMPSCI,328,,4,LTR,F,6,
0,,COMPSCI,490U,,4,LTR,F,6,
0,,COMPSCI,325,,4,LTR,A,7,
0,,COMPSCI,420,,4,LTR,D-,7,
0,,COMPSCI,466,,4,LTR,F,8,
0,,COMPSCI,532,,4,LTR,F,8,
0,,COMPSCI,508,,4,LTR,F,9,
0,,COMPSCI,561,,4,LTR,A-,9,
1,,COMPSCI,121,,4,LTR,B+,1,
1,,MATH,131,,4,LTR,A,1,
1,,COMPSCI,187,,4,LTR,A,2,
1,,MATH,132,,4,LTR,A,2,
1,,COMPSCI,230,,4,LTR,C-,3,
1,,COMPSCI,230,,4,LTR,B,3,
1,,MATH,233,,4,LTR,D-,3,
1,,COMPSCI,250,,4,LTR,A,4,
1,,COMPSCI,230,,4,LTR,A,4,
1,,MATH,235,,4,LTR,A,4,
1,,COMPSCI,311,,4,LTR,F,5,
1,,COMPSCI,446,,4,LTR,F,5,
1,,COMPSCI,508,,4,LTR,B,6,
1,,COMPSCI,520,,4,LTR,A,6,
1,,COMPSCI,514,,4,LTR,D-,7,
1,,COMPSCI,325,,4,LTR,F,7,
1,,COMPSCI,383,,4,LTR,A,8,
1,,COMPSCI,326,,4,LTR,C+,8,
1,,COMPSCI,535,,4,LTR,F,9,
1,,COMPSCI,490Q,,4,LTR,F,9,
2,,COMPSCI,121,,4,LTR,A,1,
2,,MATH,131,,4,LTR,A,1,
2,,COMPSCI,187,,4,LTR,B,2,
2,,MATH,132,,4,LTR,A,2,
2,,COMPSCI,230,,4,LTR,A,3,
2,,COMPSCI,220,,4,LTR,D+,3,
2,,MATH,233,,4,LTR,A,3,
2,,COMPSCI,250,,4,LTR,A,4,
2,,COMPSCI,230,,4,LTR,A,4,
2,,MATH,235,,4,LTR,A,4,
2,,COMPSCI,311,,4,LTR,F,5,
2,,COMPSCI,345,,4,LTR,A,5,
2,,COMPSCI,520,,4,LTR,F,6,
2,,COMPSCI,535,,4,LTR,F,6,
2,,COMPSCI,377,,4,LTR,A,7,
2,,COMPSCI,325,,4,LTR,F,7,
2,,COMPSCI,532,,4,LTR,A,8,
2,,COMPSCI,446,,4,LTR,F,8,
2,,COMPSCI,429,,4,LTR,F,9,
2,,COMPSCI,420,,4,LTR,F,9,
3,,COMPSCI,121,,4,LTR,B-,1,
3,,MATH,131,,4,LTR,A,1,
3,,COMPSCI,187,,4,LTR,A,2,
3,,MATH,132,,4,LTR,B+,2,
3,,COMPSCI,240,,4,LTR,A,3,
3,,COMPSCI,250,,4,LTR,A,3,
3,,MATH,233,,4,LTR,A,3,
3,,COMPSCI,230,,4,LTR,A,4,
3,,COMPSCI,220,,4,LTR,A,4,
3,,MATH,235,,4,LTR,B,4,
3,,COMPSCI,311,,4,LTR,A,5,
